question,reference_answer,reference_source,answer,latency_seconds,success,error_message,answer_accuracy,faithfulness,response_groundedness,grounded_claim_ratio,unsupported_claim_ratio,contradicted_claim_ratio
Find the company (or companies) linked to SK Battery America and provide its EV Supply Chain Role and Location.,"Linked to SK Battery America [1]: Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly | Location: Jefferson, Jackson County | Category: OEM",golden,"SK Battery America is linked to the following company:
- Company: Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly | Location: Jefferson, Jackson County
- Company: SK Battery America | EV Supply Chain Role: Materials | Location: Hartwell, Hart County",4.32,True,,0.5,0.5,0.5,0.5,0.5,0.0
List all companies linked to Club Car LLC and include their EV Supply Chain Role and Product / Service.,"Linked to Club Car LLC [1]: Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly | Product / Service: Golf carts, various off-road vehicles, electric on-road vehicles | Category: OEM",golden,"1 company is linked to Club Car LLC:
- Company: Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly | Product / Service: Golf carts, various off-road vehicles, electric on-road vehicles",1.17,True,,0.83,1.0,1.0,1.0,0.0,0.0
"Which companies are linked to Blue Bird or Blue Bird Corp., and what is their Primary Facility Type?","Linked to Blue Bird / Blue Bird Corp. [4]: Hanon Systems USA LLC | Primary OEMs: Blue Bird | Primary Facility Type: Manufacturing Plant | Category: Tier 2/3 | Location: Griffin, Spalding County Perkins Small Engines LLC | Primary OEMs: Blue Bird | Primary Facility Type: Manufacturing Plant | Category: Tier 1 | Location: Zebulon, Pike County SHIROKI North America Inc | Primary OEMs: Blue Bird | Primary Facility Type: Manufacturing Plant | Category: Tier 1 | Location: Dublin, Laurens County TE Connectivity | Primary OEMs: Blue Bird Corp. | Primary Facility Type: Manufacturing Plant | Category: OEM | Location: Fort Valley, Peach County",golden,"The following companies are linked to Blue Bird or Blue Bird Corp., and their Primary Facility Type is:

- Company: Hanon Systems USA LLC | Primary Facility Type: Manufacturing Plant
- Company: Perkins Small Engines LLC | Primary Facility Type: Manufacturing Plant
- Company: SHIROKI North America Inc | Primary Facility Type: Manufacturing Plant
- Company: TE Connectivity | Primary Facility Type: Manufacturing Plant",1.8,True,,0.75,1.0,1.0,1.0,0.0,0.0
"Show all companies linked to Yamaha Motor Manufacturing Corp. and include Category, Location, and Employment.","Linked to Yamaha Motor Manufacturing Corp. [1]: Teklas USA | Category: OEM | Location: Coweta County | Employment: 1,800 | EV Supply Chain Role: Vehicle Assembly",golden,Company: Teklas USA | Category: OEM | Location: Coweta County | Employment: 1800,0.83,True,,0.83,1.0,1.0,1.0,0.0,0.0
"For each Primary OEM listed (excluding blanks), count how many companies are associated with it.",Company counts by Primary OEM (excluding blanks): Multiple OEMs: 156 Hyundai Kia: 6 Hyundai Kia Rivian: 5 Blue Bird: 3 Blue Bird Corp.: 1 Club Car LLC: 1 Archer Aviation Inc.: 1 Hyundai Motor Group: 1 Kia Georgia Inc.: 1 Mercedes-Benz USA LLC: 1 Porsche Cars North America Inc.: 1 Rivian Automotive: 1 SK Battery America: 1 Textron Specialized Vehicles: 1 Yamaha Motor Manufacturing Corp.: 1,golden,"- Multiple OEMs: 156
- Hyundai Kia: 6
- Hyundai Kia Rivian: 5
- Blue Bird: 3
- Archer Aviation Inc.: 1
- Blue Bird Corp.: 1
- Club Car LLC: 1
- Hyundai Motor Group: 1
- Kia Georgia Inc.: 1
- Mercedes-Benz USA LLC: 1
- Porsche Cars North America Inc.: 1
- Rivian Automotive: 1
- SK Battery America: 1
- Textron Specialized Vehicles: 1
- Yamaha Motor Manufacturing Corp.: 1",2.49,True,,0.85,1.0,1.0,1.0,0.0,0.0
Which Primary OEM has the highest total Employment across its associated companies (excluding blanks)?,"By exact Primary OEM field value, Multiple OEMs has the highest total Employment: 39,705. If you exclude the placeholder 'Multiple OEMs', the highest named OEM is Hyundai Motor Group with total Employment of 8,100.",golden,Multiple OEMs has the highest total Employment with 39705.,0.75,True,,0.5,1.0,1.0,1.0,0.0,0.0
"Identify any companies that supply to more than one OEM based on the Primary OEMs field (e.g., entries like 'Hyundai Kia Rivian') and list them.","Companies supplying to more than one OEM based on the Primary OEMs field: Hyundai Kia [6]: F&P Georgia Manufacturing (Tier 1/2; Battery Pack; Toccoa, Stephens County); Hitachi Astemo Americas Inc. (Tier 1/2; Battery Cell; Coweta County); Hollingsworth & Vose Co. (Tier 1/2; Battery Pack; Bainbridge, Decatur County); Honda Development & Manufacturing (Tier 1/2; Battery Cell; Pembroke, Bryan County); Hyundai Motor Group (Tier 1/2; Battery Pack; McDonough, Henry County); IMMI (Tier 1/2; Battery Pack; Jefferson, Jackson County) Hyundai Kia Rivian [5]: Duckyang (Tier 2/3; General Automotive; Augusta, Richmond County); Enchem America Inc. (Tier 2/3; General Automotive; Cumming, Forsyth County); GSC Steel Stamping LLC (Tier 2/3; Power Electronics; Gainesville, Hall County); Hyundai Transys Georgia Powertrain (Tier 1/2; Thermal Management; Dublin, Laurens County); Racemark International LLC (Tier 1; General Automotive; Calhoun, Gordon County) Multiple OEMs [156]: ACM Georgia LLC (Tier 2/3; General Automotive; Calhoun, Gordon County); ADVICS Manufacturing Georgia LLC (Tier 2/3; General Automotive; Troup County); ALBAform Inc. (Tier 2/3; General Automotive; Calhoun, Gordon County); AVS (Tier 2/3; General Automotive; Barnesville, Lamar County); Adient (Tier 2/3; General Automotive; Ringgold, Catoosa County); Ajin Georgia (Tier 2/3; General Automotive; Dalton, Whitfield County); Anovion Technologies (Tier 2/3; General Automotive; Dalton, Whitfield County); Apache Mills Inc. (Tier 2/3; General Automotive; Hawkinsville, Pulaski County); Aptiv (Tier 2/3; General Automotive; Statesboro, Bulloch County); Archer Aviation Inc. (Tier 2/3; General Automotive; Ellaville, Schley County); Arising Industries Inc. (Tier 2/3; General Automotive; Lawrenceville, Gwinnett County); Arising Industries Inc. (Tier 2/3; General Automotive; Macon, Bibb County); Ascend Elements (Tier 2/3; Materials; Statesboro, Bulloch County); Aspen Aerogels (Tier 2/3; Materials; Troup County); Aurubis (Tier 2/3; Materials; Troup County); Beaver Manufacturing Co. Inc. (Tier 2/3; Materials; Griffin, Spalding County); Big Tex Trailer Manufacturing Inc. (Tier 2/3; General Automotive; Monroe, Walton County); Blue Bird Corp. (Tier 2/3; Materials; Elberton, Elbert County); Blue Ridge Manufacturing (Tier 2/3; Materials; Canton, Cherokee County); Bonnell Aluminum (Tier 2/3; General Automotive; Troup County); Boogook Industries (Tier 2/3; Materials; Gainesville, Hall County); Bosal Industries Georgia (Tier 2/3; General Automotive; Rome, Floyd County); Bosch (Automotive Division) (Tier 2/3; Materials; Thomson, McDuffie County); Bridgestone Bandag (Tier 2/3; Materials; Augusta, Richmond County); Carcoustics USA (Tier 2/3; General Automotive; Griffin, Spalding County); Club Car LLC (Tier 2/3; Materials; Madison, Morgan County); Constellium Automotive USA (Tier 2/3; Materials; Cartersville, Bartow County); Continental Automotive (Tier 2/3; General Automotive; Jasper, Pickens County); Continental Tire the Americas LLC (Tier 2/3; General Automotive; Lawrenceville, Gwinnett County); DAEHAN Solution Georgia LLC (Tier 2/3; Materials; Covington, Newton County); DAS Corp. (Tier 2/3; Materials; Gainesville, Hall County); DaeChang Seat Company (Tier 2/3; General Automotive; Decatur, DeKalb County); Daesol Ausys (Tier 2/3; Materials; Marietta, Cobb County); Daesol Material Georgia, LLC (Tier 2/3; General Automotive; Lawrenceville, Gwinnett County); Daimler Truck North America (Tier 2/3; General Automotive; Covington, Newton County); DeKalb Tool & Die Inc. (Tier 2/3; General Automotive; Calhoun, Gordon County); Decostar Industries (Tier 2/3; General Automotive; Buchanan, Haralson County); Denkai America (Tier 2/3; General Automotive; Cumming, Forsyth County); Denso Manufacturing Georgia (Tier 2/3; General Automotive; Troup County); Die-Tech Industries Inc. (Tier 2/3; General Automotive; Hinesville, Liberty County); Dinex Emissions Inc. (Tier 2/3; General Automotive; Greensboro, Greene County); Dongwon Autopart Technology Georgia LLC (Tier 2/3; General Automotive; Coweta County); Dorsett Industries Inc. (Tier 2/3; General Automotive; Franklin, Heard County); Down 2 Earth Trailers (Tier 2/3; General Automotive; Cartersville, Bartow County); EVCO Plastics (Tier 2/3; Materials; Augusta, Richmond County); Eaton Corp. (Tier 2/3; General Automotive; Cartersville, Bartow County); Ecoplastic America Corporation (Tier 2/3; General Automotive; Greensboro, Greene County); Ecoplastic Corporation (Tier 2/3; General Automotive; Rome, Floyd County); Elan Technology Inc. (Tier 2/3; General Automotive; Atlanta, Fulton County); Enplas USA Inc. (Tier 2/3; General Automotive; Covington, Newton County); Erdrich USA Inc. (Tier 2/3; General Automotive; Greensboro, Greene County); FOX Factory (Tier 2/3; General Automotive; Covington, Newton County); FREYR Battery (Tier 2/3; General Automotive; Marietta, Cobb County); Fanello Industries Inc. (Tier 2/3; Materials; Cumming, Forsyth County); First American Resources (Tier 2/3; Materials; Albany, Dougherty County); Flambeau Inc. (Tier 2/3; General Automotive; Carroll County); Fouts Brothers Fire Equipment (Tier 1/2; General Automotive; Statesboro, Bulloch County); Freudenberg-NOK (Tier 2/3; General Automotive; Warrenton, Warren County); Freudenberg-NOK (Tier 2/3; Thermal Management; Carnesville, Franklin County); GEDIA Georgia LLC (Tier 2/3; General Automotive; Jonesboro, Clayton County); GLOVIS Georgia LLC (Tier 2/3; General Automotive; Dublin, Laurens County); Global Powertrain Systems LLC (Tier 2/3; General Automotive; Rome, Floyd County); Goodyear Tire & Rubber Co. (Tier 2/3; General Automotive; Athens, Clarke County); Great Dane LP (Tier 2/3; General Automotive; Muscogee County); Great Dane Trailers (Tier 2/3; General Automotive; Tifton, Tift County); Grudem (Tier 2/3; General Automotive; Lawrenceville, Gwinnett County); HELLA Automotive Sales Inc. (Tier 2/3; General Automotive; Gainesville, Hall County); HEXPOL Compounding Corp. (Tier 2/3; General Automotive; Decatur, DeKalb County); Haering Precision USA LP (Tier 2/3; General Automotive; Carroll County); Haering Precision USA LP (Tier 2/3; Materials; Dahlonega, Lumpkin County); Hitachi Astemo (Tier 1/2; General Automotive; Fayetteville, Fayette County); Hwashin (Tier 1/2; General Automotive; Jefferson, Jackson County); Hyundai & LG Energy Solution (LGES) (Tier 1/2; General Automotive; Cumming, Forsyth County); Hyundai Industrial Co. (Tier 1/2; General Automotive; Valdosta, Lowndes County); Hyundai MOBIS (Georgia) (Tier 1/2; General Automotive; Fayetteville, Fayette County); Hyundai Transys Georgia Seating Systems (Tier 1/2; General Automotive; Marietta, Cobb County); IMS Gear Georgia Inc. (Tier 1/2; General Automotive; Fayetteville, Fayette County); Inalfa Roof Systems Inc. (Tier 1/2; General Automotive; Lawrenceville, Gwinnett County); JAC Products Inc. (Tier 1/2; General Automotive; Clarkesville, Habersham County); JTEKT North America Corp. (Tier 1; General Automotive; Canton, Cherokee County); Jefferson Southern Corp. (Tier 1/2; General Automotive; Dahlonega, Lumpkin County); Jefferson Southern Corporation (Tier 1; General Automotive; Monroe, Walton County); Joon Georgia, Inc. (Tier 1; General Automotive; Troup County); KTX America Corporation (Tier 1; General Automotive; Springfield, Effingham County); Kautex Inc. (Tier 1; General Automotive; Carroll County); Kumho Tire USA Inc. (Tier 1; General Automotive; Troup County); Kyungshin America Corp. (Tier 1; General Automotive; Troup County); Lark United Manufacturing Inc. (Tier 1; General Automotive; Gainesville, Hall County); Lear Corporation (Tier 1; General Automotive; Cartersville, Bartow County); Lehigh Technologies Inc. (Tier 1; General Automotive; Rome, Floyd County); Linde + Wiemann (Tier 1; General Automotive; Troup County); Lund International Inc. (Tier 1; General Automotive; Savannah, Chatham County); Lund International Inc./Ventshade Division (Tier 1; General Automotive; Statesboro, Bulloch County); Lyle Industries Inc. (Tier 1; General Automotive; Buchanan, Haralson County); Lyle Industries Inc. (Tier 1; General Automotive; Rome, Floyd County); MAT Heavy Duty (Tier 1; General Automotive; Lawrenceville, Gwinnett County); Mack Trucks (Tier 1; General Automotive; Savannah, Chatham County); Magna International (Tier 1; General Automotive; Augusta, Richmond County); Mando America Corp. (Tier 1; General Automotive; Dublin, Laurens County); Master Craft Engineering Inc. (Tier 1; General Automotive; Savannah, Chatham County); Maxxis International USA (Tier 1; General Automotive; La Fayette, Walker County); Mercedes-Benz USA LLC (Tier 1; General Automotive; Cedartown, Polk County); Michelin Tread Technologies (Tier 1; General Automotive; Lawrenceville, Gwinnett County); Milliken & Co./Valway Plant (Tier 1; General Automotive; Greenville, Meriwether County); Mobis Alabama LLC (Tier 1; General Automotive; Gainesville, Hall County); MollerTech LLC (Tier 1; General Automotive; Toccoa, Stephens County); Morgan Corp. (Tier 1; Charging Infrastructure; Lawrenceville, Gwinnett County); Murata Electronics North America Inc. (Tier 1; General Automotive; Covington, Newton County); NIFCO KTW America Corp. (Tier 1; General Automotive; Troup County); NVH Korea (Tier 1; General Automotive; Greenville, Meriwether County); Neaton Rome Inc. (Tier 1; General Automotive; Hamilton, Harris County); Nidec Elesys Americas Corp. (Tier 1; General Automotive; Metter, Candler County); Nile Automotive (Tier 1; General Automotive; Dalton, Whitfield County); Nisshinbo Automotive Manufacturing Inc. (Tier 1; General Automotive; Gainesville, Hall County); Nivel Parts & Manufacturing Co. LLC (Tier 1; General Automotive; Savannah, Chatham County); Novelis Inc. (Tier 1; General Automotive; Gainesville, Hall County); Novelis Inc. (Tier 1; General Automotive; Trenton, Dade County); Novelis Inc. (Tier 1; Thermal Management; Lawrenceville, Gwinnett County); OTR Wheel Engineering Inc. (Tier 1; General Automotive; Cordele, Crisp County); Oneda Corp. (Tier 1; General Automotive; Dalton, Whitfield County); PAI Industries Inc. (Tier 1; General Automotive; Troup County); PHA Body Systems LLC (Tier 1; Materials; Carroll County); PIOLAX Corp. (Tier 1; General Automotive; Rome, Floyd County); PPG Industries Inc. (Tier 1; General Automotive; Troup County); Paccar (Tier 1; General Automotive; Trenton, Dade County); Pak-Lite Inc. (Tier 1; General Automotive; Rome, Floyd County); Panasonic Automotive Systems Co. (Tier 1; General Automotive; Hinesville, Liberty County); Panasonic Automotive Systems Co. (Tier 1; Materials; Cartersville, Bartow County); Panduit Corp. (Tier 1; General Automotive; Cartersville, Bartow County); Peerless-Winsmith Inc. (Tier 1; Thermal Management; Statesboro, Bulloch County); Peterson Spring (Tier 1; General Automotive; Hartwell, Hart County); Piedmont Automotive Products Inc. (Tier 1; General Automotive; Hamilton, Harris County); Pirelli Tire North America LLC (Tier 1; General Automotive; Carnesville, Franklin County); Porsche Cars North America Inc. (Tier 1; General Automotive; Cairo, Grady County); Propex Operating Co. LLC (Tier 1; General Automotive; Lawrenceville, Gwinnett County); QSR Inc. (Tier 1; General Automotive; Lawrenceville, Gwinnett County); RealTruck (Tier 1; General Automotive; Fayetteville, Fayette County); Rivian Automotive (Tier 1; General Automotive; Gainesville, Hall County); Robert Bosch LLC (Tier 1; General Automotive; Coweta County); SAFT America Inc. (Tier 1; General Automotive; Coweta County); SK Battery America (Tier 1; Materials; Hartwell, Hart County); SKF USA Inc. (Tier 1; General Automotive; Carnesville, Franklin County); SRG Global Inc. (Tier 1; General Automotive; Atlanta, Fulton County); Sejong Georgia LLC (Tier 1; General Automotive; Troup County); Seohan Auto USA (Tier 1; General Automotive; Hazlehurst, Davis County); Seoyon E-HWA (Tier 1; General Automotive; Hazlehurst, Davis County); Seoyon E-Hwa Interior Systems (Tier 1; General Automotive; Macon, Bibb County); Sewon America Inc. (Tier 1; General Automotive; Atlanta, Fulton County); Sewon America Inc. (Tier 1; General Automotive; Athens, Clarke County); Sewon America Inc. (Tier 1; General Automotive; Marietta, Cobb County); Solvay Specialty Polymers USA LLC (Tier 1; General Automotive; Springfield, Effingham County); Southern Switches Corp. (Tier 1; General Automotive; Blue Ridge, Fannin County); Stryten Energy (Tier 1; General Automotive; Troup County); Suhner Manufacturing Corp. (Tier 1; General Automotive; Douglas, Coffee County); Sumitomo Electric Wiring Systems (Tier 1; Materials; Baxley, Appling County); SungEel Recycling Park Georgia (Tier 2/3; Materials; Macon, Bibb County)",golden,"The following companies supply to more than one OEM:
- Company: Duckyang | Primary OEMs: Hyundai Kia Rivian
- Company: Enchem America Inc. | Primary OEMs: Hyundai Kia Rivian
- Company: GSC Steel Stamping LLC | Primary OEMs: Hyundai Kia Rivian
- Company: Hyundai Transys Georgia Powertrain | Primary OEMs: Hyundai Kia Rivian
- Company: Racemark International LLC | Primary OEMs: Hyundai Kia Rivian",2.08,True,,0.2,1.0,1.0,1.0,0.0,0.0
"Among companies linked to 'Hyundai Kia Rivian', list their EV Supply Chain Role and Product / Service.","Hyundai Kia Rivian [5]: Duckyang | EV Supply Chain Role: General Automotive | Product / Service: High-quality electrodeposited (ED) copper foil for electric vehicles Enchem America Inc. | EV Supply Chain Role: General Automotive | Product / Service: Electric wiring components GSC Steel Stamping LLC | EV Supply Chain Role: Power Electronics | Product / Service: Deep grove ball bearings Toyota Industries Electric Systems North 255 DC-to-DC converters Jackson America, Inc.* Hyundai Transys Georgia Powertrain | EV Supply Chain Role: Thermal Management | Product / Service: Electrical heaters, control units, and actuators Racemark International LLC | EV Supply Chain Role: General Automotive | Product / Service: Manufacturing and R&D engine parts for EV",golden,"The following companies are linked to 'Hyundai Kia Rivian':

- Company: Duckyang | EV Supply Chain Role: General Automotive | Product / Service: High-quality electrodeposited (ED) copper foil for electric vehicles
- Company: Enchem America Inc. | EV Supply Chain Role: General Automotive | Product / Service: Electric wiring components
- Company: F&P Georgia Manufacturing | EV Supply Chain Role: Battery Pack | Product / Service: Lithium-ion battery recycler and raw materials provider
- Company: GSC Steel Stamping LLC | EV Supply Chain Role: Power Electronics | Product / Service: Deep grove ball bearings Toyota Industries Electric Systems North 255 DC-to-DC converters Jackson America, Inc.*
- Company: Hyundai Motor Group | EV Supply Chain Role: Battery Pack | Product / Service: Battery parts for electric vehicles
- Company: Hyundai Transys Georgia Powertrain | EV Supply Chain Role: Thermal Management | Product / Service: Electrical heaters, control units, and actuators",3.96,True,,0.67,0.82,0.82,0.82,0.18,0.0
Find all companies linked to Porsche Cars North America Inc. and provide their Location and Employment.,"Linked to Porsche Cars North America Inc. [1]: Minebea AccessSolutions USA Inc. | Location: Atlanta, Fulton County | Employment: 400 | Category: OEM | EV Supply Chain Role: General Automotive",golden,"The following companies are linked to Porsche Cars North America Inc.:

- Company: Minebea AccessSolutions USA Inc. | Location: Atlanta, Fulton County | Employment: 400",1.23,True,,0.75,1.0,1.0,1.0,0.0,0.0
"Which OEM-linked entries are missing Supplier or Affiliation Type, and what are their Categories?",OEM-linked entries missing Supplier or Affiliation Type: None,golden,"The provided evidence does not contain any OEM-linked entries missing a Supplier or Affiliation Type. The following companies are listed as OEMs: Kia Georgia Inc., Minebea AccessSolutions USA Inc., Superior Essex Inc., Suzuki Manufacturing of America Corp., TCI Powder Coatings, TDK Components USA Inc., TE Connectivity, Teklas USA, Textron Specialized Vehicles, Thermal Ceramics Inc., Thomson Plastics Inc., and TI Fluid Systems.",1.98,True,,0.0,0.0,0.0,0.0,1.0,0.0
