question,reference_answer,reference_source,answer,latency_seconds,success,error_message,answer_accuracy,faithfulness,response_groundedness,grounded_claim_ratio,unsupported_claim_ratio,contradicted_claim_ratio
List all companies with Employment between 200 and 500 (inclusive) that are EV / Battery Relevant = Yes.,"EV / Battery Relevant = Yes with Employment 200-500 [9]: Duckyang | Employment: 250 | Location: Augusta, Richmond County | Category: Tier 2/3 | EV Supply Chain Role: General Automotive Volvo Group North America | Employment: 251 | Location: Georgia | Category: OEM Supply Chain | EV Supply Chain Role: Stamped metal components for OEMs Valeo | Employment: 269 | Location: Georgia | Category: OEM Supply Chain | EV Supply Chain Role: Tier 1 automotive components Trenton Pressing Inc. | Employment: 298 | Location: Georgia | Category: OEM Supply Chain | EV Supply Chain Role: Machined components supporting EV and ICE vehicles GSC Steel Stamping LLC | Employment: 350 | Location: Gainesville, Hall County | Category: Tier 2/3 | EV Supply Chain Role: Power Electronics Trenton Pressing | Employment: 350 | Location: Georgia | Category: OEM (Footprint) | EV Supply Chain Role: OEM corporate footprint and supplier integration Hollingsworth & Vose Co. | Employment: 400 | Location: Bainbridge, Decatur County | Category: Tier 1/2 | EV Supply Chain Role: Battery Pack Honda Development & Manufacturing | Employment: 400 | Location: Pembroke, Bryan County | Category: Tier 1/2 | EV Supply Chain Role: Battery Cell Volvo Cars USA | Employment: 456 | Location: Georgia | Category: OEM Supply Chain | EV Supply Chain Role: Plastic components for EV and ICE vehicles",golden,"The provided evidence does not include employment numbers, so it's impossible to list companies with Employment between 200 and 500 (inclusive) that are EV / Battery Relevant = Yes. The required employment data is missing from the given workbook summary.",4.59,True,,0.0,1.0,1.0,1.0,0.0,0.0
Which Industry Group has the highest total Employment across all companies?,"Automotive wiring systems has the highest total Employment: 250,000.",golden,Automotive wiring systems (250000),0.73,True,,0.8,1.0,1.0,1.0,0.0,0.0
"For each Category, compute the average Employment and identify which Category has the highest average.",Average Employment by Category: OEM Footprint: 175419.7 OEM Supply Chain: 52719.5 OEM (Footprint): 11930.0 OEM: 2471.4 Tier 1: 287.9 Tier 1/2: 264.2 Tier 2/3: 212.4 Highest average: OEM Footprint (175419.7).,golden,"Average Employment by Category:
- OEM Footprint: 175419.67
- OEM Supply Chain: 52719.53
- OEM (Footprint): 11930.00
- OEM: 2471.42
- Tier 1: 287.95
- Tier 1/2: 264.22
- Tier 2/3: 212.39

Highest Category by Average Employment:
- OEM Footprint (175419.67)",2.57,True,,0.99,1.0,1.0,1.0,0.0,0.0
"Identify companies with Employment >= 10,000 and list their Category and Classification Method.","Companies with Employment >= 10,000 [10 distinct companies]: WIKA USA | Employment: 250,000 | Category: OEM Supply Chain | Classification Method: Public OEM footprint / supplier listing Yazaki North America | Employment: 230,000 | Category: OEM Footprint | Classification Method: Public OEM footprint / supplier listing YKK USA Inc. | Employment: 190,159 | Category: OEM Footprint | Classification Method: Public OEM footprint / supplier listing Yamaha Motor Manufacturing Corp. | Employment: 190,000 | Category: OEM Supply Chain | Classification Method: Public OEM footprint / supplier listing Yachiyo Manufacturing of America LLC | Employment: 173,700 | Category: OEM Supply Chain | Classification Method: Public OEM footprint / supplier listing ZF Gainesville LLC | Employment: 170,000, 106,100, 17,500 | Category: OEM Footprint, OEM Supply Chain | Classification Method: Public OEM footprint / supplier listing Woory Industrial Co. | Employment: 87,000 | Category: OEM Supply Chain | Classification Method: Public OEM footprint / supplier listing TI Fluid Systems | Employment: 19,600 | Category: OEM (Footprint) | Classification Method: Public OEM footprint / supplier listing TN Americas Holding Inc. | Employment: 19,600 | Category: OEM (Footprint) | Classification Method: Public OEM footprint / supplier listing Toyota Industries Group (TACG-TICA) | Employment: 18,100 | Category: OEM (Footprint) | Classification Method: Public OEM footprint / supplier listing",golden,"Company: TI Fluid Systems | Category: OEM (Footprint) | Classification Method: Public OEM footprint / supplier listing
Company: Toyota Industries Group (TACG-TICA) | Category: OEM (Footprint) | Classification Method: Public OEM footprint / supplier listing
Company: WIKA USA | Category: OEM Supply Chain | Classification Method: Public OEM footprint / supplier listing
Company: Woory Industrial Co. | Category: OEM Supply Chain | Classification Method: Public OEM footprint / supplier listing
Company: Yachiyo Manufacturing of America LLC | Category: OEM Supply Chain | Classification Method: Public OEM footprint / supplier listing
Company: Yamaha Motor Manufacturing Corp. | Category: OEM Footprint | Classification Method: Public OEM footprint / supplier listing
Company: Yazaki North America | Category: OEM Footprint | Classification Method: Public OEM footprint / supplier listing
Company: YKK USA Inc. | Category: OEM Footprint | Classification Method: Public OEM footprint / supplier listing
Company: ZF Gainesville LLC | Category: OEM Supply Chain | Classification Method: Public OEM footprint / supplier listing
Company: ZF Gainesville LLC | Category: OEM Footprint | Classification Method: Public OEM footprint / supplier listing",4.93,True,,0.9,0.82,0.82,0.82,0.18,0.0
"Among OEM categories (OEM, OEM Supply Chain, OEM Footprint, OEM (Footprint)), which has the highest total Employment?","Total Employment by OEM category: OEM Supply Chain: 896,232 OEM Footprint: 526,259 OEM (Footprint): 59,650 OEM: 29,657 Highest total Employment: OEM Supply Chain (896,232).",golden,OEM Supply Chain (896232),0.57,True,,1.0,1.0,1.0,1.0,0.0,0.0
"Which EV Supply Chain Role is most concentrated in a single county (i.e., the role where one county contains the largest share of that role's companies)?",Highest county concentration is a tie at 100.0%: Charging Infrastructure | County: Gwinnett County | Share: 100.0% (1/1) | Company: Morgan Corp. OEM corporate and engineering footprint (electrification) | County: Greene County | Share: 100.0% (1/1) | Company: Tie Down Engineering OEM corporate footprint influencing EV strategy | County: Fulton County | Share: 100.0% (1/1) | Company: TI Fluid Systems Power Electronics | County: Hall County | Share: 100.0% (1/1) | Company: GSC Steel Stamping LLC,golden,"The most concentrated EV Supply Chain Role in a single county is Charging Infrastructure, with a share of 1.00 in Gwinnett County. The company associated with this role is Morgan Corp.",1.05,True,,0.25,1.0,1.0,1.0,0.0,0.0
"Identify EV Supply Chain Roles that have only one company in the dataset, and list the company for each such role.","EV Supply Chain Roles with only one company [28]: Advanced electrical architecture for EVs -> Yamaha Motor Manufacturing Corp. Body and chassis components for EV and ICE OEMs -> Vanguard National Trailer Corp. Charging Infrastructure -> Morgan Corp. EV and ICE component manufacturing -> Vista Metals Corp. EV and ICE powertrain and HVAC components -> Voestalpine Automotive Body Parts Inc. EV body, powertrain, and thermal components -> ZF Gainesville LLC EV electrical distribution and interior systems -> Yachiyo Manufacturing of America LLC EV sensors, braking, and control systems -> YKK USA Inc. EV thermal management and power electronics -> ZF Gainesville LLC EV thermal systems and electronics -> ZF Gainesville LLC EV wiring harnesses and power distribution -> Woodbridge Foam Corp. HV and LV wiring harnesses for EVs and ICE vehicles -> WIKA USA High‑voltage EV connectors and electronics -> Woory Industrial Co. Interior and exterior plastic parts -> Wabash National Corp. Interior trim and textile components -> Wheelabrator Group Inc. Machined components supporting EV and ICE vehicles -> Trenton Pressing Inc. OEM corporate and engineering footprint (electrification) -> Tie Down Engineering OEM corporate footprint and supplier integration -> Trenton Pressing OEM corporate footprint influencing EV strategy -> TI Fluid Systems OEM parent group footprint (EV + HD electrification) -> TN Americas Holding Inc. OEM parent group footprint (electric truck strategy) -> Toyota Industries Group (TACG-TICA) Plastic components for EV and ICE vehicles -> Volvo Cars USA Power Electronics -> GSC Steel Stamping LLC Power electronics, sensors, and EV systems -> Yazaki North America Stamped and welded assemblies for OEMs -> Vernay Stamped metal components for OEMs -> Volvo Group North America Tier 1 automotive components -> Valeo Vehicle safety systems OEM (EV + ICE) -> TI Fluid Systems",golden,"- Advanced electrical architecture for EVs: Yamaha Motor Manufacturing Corp.
- Body and chassis components for EV and ICE OEMs: Vanguard National Trailer Corp.
- Charging Infrastructure: Morgan Corp.
- EV and ICE component manufacturing: Vista Metals Corp.
- EV and ICE powertrain and HVAC components: Voestalpine Automotive Body Parts Inc.
- EV body, powertrain, and thermal components: ZF Gainesville LLC
- EV electrical distribution and interior systems: Yachiyo Manufacturing of America LLC
- EV sensors, braking, and control systems: YKK USA Inc.
- EV thermal management and power electronics: ZF Gainesville LLC
- EV thermal systems and electronics: ZF Gainesville LLC
- EV wiring harnesses and power distribution: Woodbridge Foam Corp.
- HV and LV wiring harnesses for EVs and ICE vehicles: WIKA USA
- High‑voltage EV connectors and electronics: Woory Industrial Co.
- Interior and exterior plastic parts: Wabash National Corp.
- Interior trim and textile components: Wheelabrator Group Inc.
- Machined components supporting EV and ICE vehicles: Trenton Pressing Inc.
- OEM corporate and engineering footprint (electrification): Tie Down Engineering
- OEM corporate footprint and supplier integration: Trenton Pressing
- OEM corporate footprint influencing EV strategy: TI Fluid Systems
- OEM parent group footprint (EV + HD electrification): TN Americas Holding Inc.
- OEM parent group footprint (electric truck strategy): Toyota Industries Group (TACG-TICA)
- Plastic components for EV and ICE vehicles: Volvo Cars USA
- Power Electronics: GSC Steel Stamping LLC
- Power electronics, sensors, and EV systems: Yazaki North America
- Stamped and welded assemblies for OEMs: Vernay
- Stamped metal components for OEMs: Volvo Group North America
- Tier 1 automotive components: Valeo
- Vehicle safety systems OEM (EV + ICE): TI Fluid Systems",7.64,True,,0.93,0.0,0.0,0.0,1.0,0.0
Which counties have the fewest companies overall (excluding rows with Location = Georgia)? Provide the bottom 5 counties by company count.,Bottom 5 counties by company count (alphabetical among ties): Appling County: 1 Candler County: 1 Catoosa County: 1 Clayton County: 1 Coffee County: 1 Note: 29 counties are tied at the minimum count of 1.,golden,"- Appling County: 1
- Candler County: 1
- Catoosa County: 1
- Clayton County: 1
- Coffee County: 1",0.97,True,,1.0,1.0,1.0,1.0,0.0,0.0
"For Tier 1 suppliers, identify any counties that have only one Tier 1 supplier and name that supplier.","Counties with exactly one Tier 1 supplier [21]: Appling County: Sumitomo Electric Wiring Systems | Location: Baxley, Appling County | EV Supply Chain Role: Materials Bibb County: Seoyon E-Hwa Interior Systems | Location: Macon, Bibb County | EV Supply Chain Role: General Automotive Candler County: Nidec Elesys Americas Corp. | Location: Metter, Candler County | EV Supply Chain Role: General Automotive Cherokee County: JTEKT North America Corp. | Location: Canton, Cherokee County | EV Supply Chain Role: General Automotive Clarke County: Sewon America Inc. | Location: Athens, Clarke County | EV Supply Chain Role: General Automotive Cobb County: Sewon America Inc. | Location: Marietta, Cobb County | EV Supply Chain Role: General Automotive Coffee County: Suhner Manufacturing Corp. | Location: Douglas, Coffee County | EV Supply Chain Role: General Automotive Crisp County: OTR Wheel Engineering Inc. | Location: Cordele, Crisp County | EV Supply Chain Role: General Automotive Fannin County: Southern Switches Corp. | Location: Blue Ridge, Fannin County | EV Supply Chain Role: General Automotive Fayette County: RealTruck | Location: Fayetteville, Fayette County | EV Supply Chain Role: General Automotive Gordon County: Racemark International LLC | Location: Calhoun, Gordon County | EV Supply Chain Role: General Automotive Grady County: Porsche Cars North America Inc. | Location: Cairo, Grady County | EV Supply Chain Role: General Automotive Haralson County: Lyle Industries Inc. | Location: Buchanan, Haralson County | EV Supply Chain Role: General Automotive Liberty County: Panasonic Automotive Systems Co. | Location: Hinesville, Liberty County | EV Supply Chain Role: General Automotive Newton County: Murata Electronics North America Inc. | Location: Covington, Newton County | EV Supply Chain Role: General Automotive Pike County: Perkins Small Engines LLC | Location: Zebulon, Pike County | EV Supply Chain Role: General Automotive Polk County: Mercedes-Benz USA LLC | Location: Cedartown, Polk County | EV Supply Chain Role: General Automotive Richmond County: Magna International | Location: Augusta, Richmond County | EV Supply Chain Role: General Automotive Stephens County: MollerTech LLC | Location: Toccoa, Stephens County | EV Supply Chain Role: General Automotive Walker County: Maxxis International USA | Location: La Fayette, Walker County | EV Supply Chain Role: General Automotive Walton County: Jefferson Southern Corporation | Location: Monroe, Walton County | EV Supply Chain Role: General Automotive",golden,"- Appling County: Sumitomo Electric Wiring Systems
- Bibb County: Seoyon E-Hwa Interior Systems
- Candler County: Nidec Elesys Americas Corp.
- Cherokee County: JTEKT North America Corp.
- Clarke County: Sewon America Inc.
- Cobb County: Panasonic Automotive Systems Co.
- Coffee County: Murata Electronics North America Inc.
- Crisp County: Perkins Small Engines LLC
- Fannin County: Mercedes-Benz USA LLC
- Fayette County: Magna International
- Gordon County: MollerTech LLC
- Grady County: Maxxis International USA
- Haralson County: Jefferson Southern Corporation
- Liberty County: OTR Wheel Engineering Inc.
- Newton County: Southern Switches Corp.
- Pike County: RealTruck
- Polk County: Racemark International LLC
- Richmond County: Porsche Cars North America Inc.
- Stephens County: Lyle Industries Inc.
- Walker County: Suhner Manufacturing Corp.
- Walton County:",4.16,True,,0.0,1.0,1.0,1.0,0.0,0.0
"Identify any companies that appear multiple times in the dataset, and for each, list the distinct EV Supply Chain Roles recorded.","Companies appearing multiple times and their distinct EV Supply Chain Roles: Arising Industries Inc. [2 rows] -> Roles: General Automotive Freudenberg-NOK [2 rows] -> Roles: General Automotive, Thermal Management Haering Precision USA LP [2 rows] -> Roles: General Automotive, Materials Lyle Industries Inc. [2 rows] -> Roles: General Automotive Novelis Inc. [3 rows] -> Roles: General Automotive, Thermal Management Panasonic Automotive Systems Co. [2 rows] -> Roles: General Automotive, Materials Sewon America Inc. [3 rows] -> Roles: General Automotive TI Fluid Systems [2 rows] -> Roles: OEM corporate footprint influencing EV strategy, Vehicle safety systems OEM (EV + ICE) ZF Gainesville LLC [3 rows] -> Roles: EV body, powertrain, and thermal components, EV thermal management and power electronics, EV thermal systems and electronics",golden,"Freudenberg-NOK appears multiple times with distinct EV Supply Chain Roles:
- General Automotive
- Thermal Management

Haering Precision USA LP appears multiple times with distinct EV Supply Chain Roles:
- General Automotive
- Materials

Novelis Inc. appears multiple times with distinct EV Supply Chain Roles:
- General Automotive
- Thermal Management

Panasonic Automotive Systems Co. appears multiple times with distinct EV Supply Chain Roles:
- General Automotive
- Materials

TI Fluid Systems appears multiple times with distinct EV Supply Chain Roles:
- OEM corporate footprint influencing EV strategy
- Vehicle safety systems OEM (EV + ICE)

ZF Gainesville LLC appears multiple times with distinct EV Supply Chain Roles:
- EV body, powertrain, and thermal components
- EV thermal management and power electronics
- EV thermal systems and electronics",3.27,True,,0.57,1.0,1.0,1.0,0.0,0.0
